unit,count,place,average,pick,item_1,item_2,item_3,item_4,item_5,item_6,item_7,item_8,item_9,item_10
Swain,4033117,17026992,4.2218,0.464681647577596,TFT_Item_FrozenHeart,TFT_Item_RedBuff,TFT_Item_Redemption,TFT_Item_ThiefsGloves,TFT_Item_GargoyleStoneplate,TFT_Item_WarmogsArmor,TFT_Item_DragonsClaw,TFT_Item_SpectralGauntlet,TFT_Item_BrambleVest,TFT_Item_NightHarvester
Taric,2672180,11894785,4.4513,0.3078792420413047,TFT_Item_GargoyleStoneplate,TFT_Item_Redemption,TFT_Item_WarmogsArmor,TFT_Item_RedBuff,TFT_Item_DragonsClaw,TFT_Item_BrambleVest,TFT_Item_ThiefsGloves,TFT_Item_NightHarvester,TFT_Item_FrozenHeart,TFT_Item_IonicSpark
Vi,2523520,11412232,4.5223,0.2907511563128506,TFT_Item_ThiefsGloves,TFT_Item_Bloodthirster,TFT_Item_SteraksGage,TFT_Item_TitansResolve,TFT_Item_GargoyleStoneplate,TFT_Item_UnstableConcoction,TFT_Item_BFSword,TFT_Item_RedBuff,TFT_Item_InfinityEdge,TFT_Item_Redemption
Seraphine,2393231,10281648,4.2961,0.27573971300951045,TFT_Item_JeweledGauntlet,TFT_Item_Leviathan,TFT_Item_SpearOfShojin,TFT_Item_StatikkShiv,TFT_Item_HextechGunblade,TFT_Item_Morellonomicon,TFT_Item_ArchangelsStaff,TFT_Item_BlueBuff,TFT_Item_RabadonsDeathcap,TFT_Item_RapidFireCannon
Shyvana,2115648,7794662,3.6843,0.24375756972442056,TFT_Item_ThiefsGloves,TFT_Item_Bloodthirster,TFT_Item_SteraksGage,TFT_Item_TitansResolve,TFT_Item_UnstableConcoction,TFT_Item_GuardianAngel,TFT_Item_InfinityEdge,TFT_Item_MadredsBloodrazor,TFT_Item_Quicksilver,TFT_Item_RedBuff
Wukong,1967874,8480016,4.3092,0.22673156581996362,TFT_Item_Redemption,TFT_Item_RedBuff,TFT_Item_SpectralGauntlet,TFT_Item_GargoyleStoneplate,TFT_Item_WarmogsArmor,TFT_Item_DragonsClaw,TFT_Item_BrambleVest,TFT_Item_FrozenHeart,TFT_Item_NightHarvester,TFT_Item_ThiefsGloves
Braum,1619034,6951588,4.2937,0.18653943999247866,TFT_Item_GargoyleStoneplate,TFT_Item_DragonsClaw,TFT_Item_Redemption,TFT_Item_BrambleVest,TFT_Item_WarmogsArmor,TFT_Item_RedBuff,TFT_Item_NightHarvester,TFT_Item_FrozenHeart,TFT_Item_IonicSpark,TFT_Item_ThiefsGloves
Loris,1591152,6973601,4.3827,0.183326973382222,TFT_Item_GargoyleStoneplate,TFT_Item_ThiefsGloves,TFT_Item_RedBuff,TFT_Item_DragonsClaw,TFT_Item_Redemption,TFT_Item_WarmogsArmor,TFT_Item_BrambleVest,TFT_Item_NightHarvester,TFT_Item_FrozenHeart,TFT_Item_IonicSpark
Neeko,1585501,7771081,4.9013,0.18267588490884992,TFT_Item_GargoyleStoneplate,TFT_Item_Redemption,TFT_Item_RedBuff,TFT_Item_WarmogsArmor,TFT_Item_DragonsClaw,TFT_Item_IonicSpark,TFT_Item_BrambleVest,TFT_Item_NightHarvester,TFT_Item_ThiefsGloves,TFT_Item_FrozenHeart
Azir,1418583,5619584,3.9614,0.16344417622041932,TFT_Item_GuinsoosRageblade,TFT_Item_JeweledGauntlet,TFT_Item_StatikkShiv,TFT_Item_Leviathan,TFT_Item_MadredsBloodrazor,TFT_Item_HextechGunblade,TFT_Item_SpearOfShojin,TFT_Item_ThiefsGloves,TFT_Item_ArchangelsStaff,TFT_Item_RapidFireCannon
