unit,count,place,average,pick,item_1,item_2,item_3,item_4,item_5,item_6,item_7,item_8,item_9,item_10
Mordekaiser,908813,3981233,4.3807,0.4016570769170255,TFT_Item_ThiefsGloves,TFT_Item_RedBuff,TFT_Item_GargoyleStoneplate,TFT_Item_WarmogsArmor,TFT_Item_Redemption,TFT_Item_DragonsClaw,TFT_Item_FrozenHeart,TFT17_Item_StargazerEmblemItem,TFT_Item_NightHarvester,TFT_Item_IonicSpark
Nunu,851213,3824676,4.4932,0.3762003023875891,TFT_Item_FrozenHeart,TFT_Item_GargoyleStoneplate,TFT_Item_RedBuff,TFT_Item_WarmogsArmor,TFT_Item_Redemption,TFT_Item_AdaptiveHelm,TFT_Item_DragonsClaw,TFT_Item_SpectralGauntlet,TFT_Item_NightHarvester,TFT_Item_Crownguard
Rhaast,654824,2714729,4.1457,0.28940463410527173,TFT_Item_GargoyleStoneplate,TFT_Item_RedBuff,TFT_Item_WarmogsArmor,TFT_Item_FrozenHeart,TFT_Item_ThiefsGloves,TFT_Item_Redemption,TFT_Item_SpectralGauntlet,TFT_Item_DragonsClaw,TFT_Item_NightHarvester,TFT_Item_Crownguard
Illaoi,614054,2733218,4.4511,0.27138601088365505,TFT_Item_GargoyleStoneplate,TFT_Item_WarmogsArmor,TFT_Item_RedBuff,TFT_Item_Redemption,TFT_Item_DragonsClaw,TFT_Item_FrozenHeart,TFT_Item_NightHarvester,TFT_Item_BrambleVest,TFT_Item_IonicSpark,TFT_Item_ThiefsGloves
IvernMinion,611062,2691271,4.4043,0.27006367287337596,TFT_Item_JeweledGauntlet,TFT_Item_GuardianAngel,TFT_Item_UnstableConcoction,TFT_Item_ThiefsGloves,TFT_Item_RedBuff,TFT_Item_GargoyleStoneplate,TFT_Item_WarmogsArmor,TFT_Item_FrozenHeart,TFT_Item_Redemption,TFT_Item_DragonsClaw
Rammus,558111,2564834,4.5956,0.24666156057983107,TFT_Item_GargoyleStoneplate,TFT_Item_RedBuff,TFT_Item_WarmogsArmor,TFT_Item_Redemption,TFT_Item_SpectralGauntlet,TFT_Item_FrozenHeart,TFT_Item_DragonsClaw,TFT_Item_NightHarvester,TFT_Item_BrambleVest,TFT_Item_Crownguard
Akali,544243,2404690,4.4184,0.24053248854555637,TFT_Item_UnstableConcoction,TFT_Item_GuardianAngel,TFT_Item_ThiefsGloves,TFT_Item_PowerGauntlet,TFT_Item_MadredsBloodrazor,TFT_Item_Bloodthirster,TFT_Item_SteraksGage,TFT_Item_InfinityEdge,TFT_Item_Quicksilver,TFT_Item_Deathblade
Blitzcrank,535528,2218394,4.1424,0.2366808255243057,TFT_Item_ThiefsGloves,TFT_Item_JeweledGauntlet,TFT_Item_UnstableConcoction,TFT_Item_Bloodthirster,TFT_Item_Crownguard,TFT_Item_IonicSpark,TFT_Item_RabadonsDeathcap,TFT_Item_AdaptiveHelm,TFT_Item_Morellonomicon,TFT_Item_MadredsBloodrazor
Jax,511398,2298109,4.4938,0.22601638161119286,TFT_Item_GargoyleStoneplate,TFT_Item_Crownguard,TFT_Item_FrozenHeart,TFT_Item_WarmogsArmor,TFT_Item_Redemption,TFT_Item_RedBuff,TFT_Item_DragonsClaw,TFT_Item_NightHarvester,TFT_Item_ThiefsGloves,TFT_Item_AdaptiveHelm
TahmKench,506006,2346146,4.6366,0.2236333446621873,TFT_Item_RedBuff,TFT_Item_GargoyleStoneplate,TFT_Item_WarmogsArmor,TFT_Item_Redemption,TFT_Item_FrozenHeart,TFT_Item_DragonsClaw,TFT_Item_SpectralGauntlet,TFT_Item_NightHarvester,TFT_Item_Crownguard,TFT_Item_BrambleVest
Karma,477545,2117514,4.4342,0.2110547811225642,TFT_Item_StatikkShiv,TFT_Item_JeweledGauntlet,TFT_Item_SpearOfShojin,TFT_Item_Morellonomicon,TFT_Item_Leviathan,TFT_Item_RabadonsDeathcap,TFT_Item_MadredsBloodrazor,TFT_Item_BlueBuff,TFT_Item_ArchangelsStaff,TFT_Item_RapidFireCannon
Maokai,477273,2157747,4.521,0.2109345685761752,TFT_Item_RedBuff,TFT_Item_WarmogsArmor,TFT_Item_SpectralGauntlet,TFT_Item_GargoyleStoneplate,TFT_Item_Redemption,TFT_Item_FrozenHeart,TFT_Item_DragonsClaw,TFT_Item_Crownguard,TFT_Item_BrambleVest,TFT_Item_NightHarvester
