unit,count,place,average,pick,item_1,item_2,item_3,item_4,item_5,item_6,item_7,item_8,item_9,item_10
Swain,3412387,14584357,4.2739,0.3979022017867654,TFT_Item_FrozenHeart,TFT_Item_RedBuff,TFT_Item_Redemption,TFT_Item_GargoyleStoneplate,TFT_Item_WarmogsArmor,TFT_Item_ThiefsGloves,TFT_Item_SpectralGauntlet,TFT_Item_DragonsClaw,TFT_Item_BrambleVest,TFT_Item_NightHarvester
Loris,2181030,9640436,4.4201,0.25431952447450684,TFT_Item_GargoyleStoneplate,TFT_Item_RedBuff,TFT_Item_Redemption,TFT_Item_DragonsClaw,TFT_Item_BrambleVest,TFT_Item_WarmogsArmor,TFT_Item_SpectralGauntlet,TFT_Item_ThiefsGloves,TFT_Item_NightHarvester,TFT_Item_FrozenHeart
Vi,2091131,10026323,4.7947,0.24383683009124127,TFT_Item_ThiefsGloves,TFT_Item_Bloodthirster,TFT_Item_GargoyleStoneplate,TFT_Item_SteraksGage,TFT_Item_TitansResolve,TFT_Item_RedBuff,TFT_Item_UnstableConcoction,TFT16_Item_IxtalEmblemItem,TFT_Item_InfinityEdge,TFT_Item_Redemption
Shyvana,2069807,7666611,3.704,0.2413503399742349,TFT_Item_ThiefsGloves,TFT_Item_Bloodthirster,TFT_Item_SteraksGage,TFT_Item_TitansResolve,TFT_Item_UnstableConcoction,TFT_Item_GuardianAngel,TFT_Item_InfinityEdge,TFT_Item_MadredsBloodrazor,TFT_Item_Quicksilver,TFT_Item_RedBuff
Seraphine,2018028,8884414,4.4025,0.23531263730266896,TFT_Item_JeweledGauntlet,TFT_Item_Leviathan,TFT_Item_SpearOfShojin,TFT_Item_StatikkShiv,TFT_Item_Morellonomicon,TFT_Item_HextechGunblade,TFT_Item_BlueBuff,TFT_Item_ArchangelsStaff,TFT_Item_RabadonsDeathcap,TFT_Item_RapidFireCannon
Wukong,1985535,8538017,4.3001,0.23152378327097284,TFT_Item_RedBuff,TFT_Item_Redemption,TFT_Item_SpectralGauntlet,TFT_Item_GargoyleStoneplate,TFT_Item_WarmogsArmor,TFT_Item_DragonsClaw,TFT_Item_BrambleVest,TFT_Item_FrozenHeart,TFT_Item_NightHarvester,TFT_Item_ThiefsGloves
Taric,1910383,8406886,4.4006,0.22276066634763472,TFT_Item_GargoyleStoneplate,TFT_Item_Redemption,TFT_Item_RedBuff,TFT_Item_WarmogsArmor,TFT_Item_ThiefsGloves,TFT_Item_DragonsClaw,TFT_Item_BrambleVest,TFT_Item_FrozenHeart,TFT_Item_NightHarvester,TFT_Item_SpectralGauntlet
Braum,1822024,7833734,4.2995,0.21245754403247036,TFT_Item_GargoyleStoneplate,TFT_Item_Redemption,TFT_Item_BrambleVest,TFT_Item_DragonsClaw,TFT_Item_RedBuff,TFT_Item_WarmogsArmor,TFT_Item_SpectralGauntlet,TFT_Item_NightHarvester,TFT_Item_FrozenHeart,TFT_Item_ThiefsGloves
Lucian,1611042,5829784,3.6186,0.18785593749212914,TFT_Item_SpearOfShojin,TFT_Item_InfinityEdge,TFT_Item_LastWhisper,TFT_Item_GuinsoosRageblade,TFT_Item_RapidFireCannon,TFT_Item_MadredsBloodrazor,TFT_Item_Deathblade,TFT_Item_BlueBuff,TFT_Item_PowerGauntlet,TFT_Item_RunaansHurricane
Ornn,1501833,6003295,3.9973,0.1751215959432571,TFT_Item_GargoyleStoneplate,TFT_Item_Redemption,TFT_Item_WarmogsArmor,TFT_Item_ThiefsGloves,TFT_Item_RedBuff,TFT_Item_BrambleVest,TFT_Item_DragonsClaw,TFT_Item_SpectralGauntlet,TFT_Item_FrozenHeart,TFT_Item_NightHarvester
